Name,Description,regularPrice,currentPrice,Image
Pack cerveza austral 6X330cc calafate botella,,5990,5990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-FOhtMXi7.jpg
Cerveza gulden draak 330 cc ale,,2589,2589,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-EzDrK08h.jpg
Cerveza dolbek 330 cc lager botella,,1000,1000,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-3GjxL9ky.jpg
Pack cerveza coors 6X355cc lager botella,CERV LAGER X6 STUBBY COORS ORIG5G 355CC ,5569,5569,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-hPet3j5n.jpg
Cerv Lager Barril Ureinch  4.8g 5 L,CERV LAGER BARRIL UREINCH  4.8G 5 L ,8990,8990,https://www.tottus.cl/static/images/temp/placeholder-image.jpg
Pack cerveza miller 6X355cc. lager botella,,4590,4590,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-lOvO24Jk.jpg
Pack cerveza becker 24X354cc lata,,10990,10990,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-urKG1F0h.jpg
Pack cerveza stella artois 24X330cc botella,CERVEZA BOT 24 STELLA ARTOIS  5G 330 CC,21709,21709,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-dqWV68oz.jpg
Pack cerveza stella artois 6X330cc,,5619,5619,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-i2E2cqqa.jpg
Pack cerveza mahou 6X250cc sin alcohol botella,,3679,3679,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-K7qLSaLZ.jpg
Cerveza piraat 330 cc,,2539,2539,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-MJuJTSuo.jpg
Pack cerveza kaiserdom 6X6un pilsner,PACK CER BO PIL KAIS 4.8G GL 330 CC 6 UN,4029,4029,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-Kggnl-kP.jpg
Cerveza saison dupont 330 ml rubia,,2889,2889,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-DKE_pKvb.jpg
Pack cerveza kunstmann 4X330cc bock botella,,4490,4490,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-pQ5QHMBX.jpg
Cerveza kaiserdom 500 cc ale pilsner lata,,789,789,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-q_mJdsIJ.jpg
Cerveza marstons 500 ml botella,CERV BOT DR THIRSTYS NG4 500ML 4.1G GLG,1889,1889,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-3jhyVnoM.jpg
Pack cerveza cristal 6X355cc sin alcohol long neck,,4639,4639,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-WFonM8WM.jpg
Pack cerveza cristal 6X350cc lata,,2850,2850,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-34OLrbK7.jpg
Cerveza oettinger 500cc efeweizen lata,,699,699,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-UzfWIMXH.jpg
Cerveza adnams 440 ml lata,,1299,1299,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-NjDPIBW6.jpg
Pack cerveza kunstmann 4X330cc torobayo botella,,4490,4490,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/img-TIvJk0mh.jpg
